w_axis,data
1.28,36.50917104821994
1.28,34.33338809378009
1.29,36.474731524429224
1.29,34.214758269687195
1.3,36.44085284384159
1.3,34.09793268617199
1.31,36.407524089563466
1.31,33.98287256077795
1.32,36.374735998942846
1.32,33.86953992819181
1.33,36.34247915318311
1.33,33.7578969204887
1.34,36.310744371848294
1.34,33.64791251267649
1.35,36.2795227064827
1.35,33.539550443393495
1.36,36.24880416285071
1.36,33.432779318979804
1.37,36.21858227267467
1.37,33.32756933808403
1.38,36.18884768967911
1.38,33.22389596611103
1.39,36.15959218997987
1.39,33.12171709024126
1.4,36.13080771845829
1.41,36.10248733842197
1.42,36.074621655257964
1.43,36.04720393440787
1.44,36.02022691495538
1.44,32.63249803783177
1.45,35.99368384632782
1.45,32.538815635899084
1.46,35.96757028329245
1.47,35.9443137346278
1.47,35.942786410599574
1.47,32.35543271590155
1.48,36.15297200944802
1.48,35.65931716115143
1.49,36.22295115137398
1.49,35.51847615573603
1.49,32.177220640330816
1.5,36.27048917802101
1.5,35.40073217075222
1.5,32.09000410137188
1.51,36.30680144900995
1.51,35.29486604734021
1.51,32.00402179300324
1.52,36.33617038186558
1.52,35.196588367861615
1.52,31.919255162376707
1.53,36.36076152396268
1.53,35.10372617703975
1.53,31.835686447891263
1.54,36.3818438626724
1.54,35.0150037976421
1.54,31.75329806353877
1.55,36.40023266966472
1.55,34.92959946182841
1.55,31.672072922295
1.56,36.41648575497758
1.56,34.84694854927607
1.56,31.59199433790206
1.57,36.431003175458365
1.57,34.76664417572858
1.57,31.51304600834842
1.58,36.444082525974025
1.58,34.68838097948444
1.58,31.435211996024556
1.59,36.455951249115245
1.59,34.61192808502034
1.6,36.466787693997894
1.6,34.53709725491444
1.61,36.4767340223862
1.61,34.46373979724163
1.62,36.485905583175516
1.62,34.39173584372527
1.63,36.4943972572848
1.63,34.32098296209397
1.64,36.5022880620336
1.64,34.251395716064614
1.65,36.50964426886351
1.65,34.18290126534803
1.66,34.11543685618644
1.66,36.51652211086202
1.66,30.850851243000164
1.67,36.52297075120729
1.67,34.0489479130037
1.68,36.52903079753273
1.68,33.9833865653198
1.69,36.53473887500135
1.69,33.91871049547336
1.69,30.648344325373333
1.7,36.54012647565847
1.7,33.854882026385326
1.7,30.582751747793303
1.71,36.54522128796249
1.71,33.7918673915454
1.71,30.518093074915054
1.72,36.55004782220584
1.72,33.729636145051046
1.72,30.454356163658023
1.73,36.55462775395211
1.73,33.66816068054093
1.73,30.39152912363125
1.74,36.558980396545415
1.74,33.60741583568897
1.74,30.329598925099994
1.75,36.56312301795565
1.75,33.54737916401336
1.76,36.567071138200134
1.76,33.4880282719942
1.76,30.208389270450347
1.77,36.57083862306001
1.77,33.429344161038884
1.77,30.149083337062464
1.78,36.5744381678215
1.78,33.371308661845084
1.78,30.090631248991805
1.79,36.57788107926394
1.79,33.31390486022242
1.79,30.033020653885146
1.8,36.58117779336916
1.8,33.25711695648539
1.8,29.976242255512226
1.81,36.584337750104794
1.81,29.920285305224233
1.81,33.200929041044546
1.82,36.58736963448049
1.82,29.865131668295426
1.82,33.14533050906376
1.83,36.590281461778766
1.83,29.81077941269799
1.83,33.09030493295767
1.84,36.59307995185855
1.84,29.75721878047547
1.84,33.035841021434976
1.85,36.59577217471474
1.85,29.70443390125028
1.85,32.98192703238528
1.86,36.598364238641906
1.86,29.652419473302494
1.86,32.92855181667606
1.87,36.600861925766864
1.87,29.601165309340367
1.87,32.87570476540476
1.88,36.60327001298165
1.88,32.82337576338084
1.88,29.55065811740605
1.89,36.605593597828125
1.89,32.77155756323451
1.89,29.50089189157412
1.9,36.60783710980831
1.9,32.72023366638468
1.9,29.451855966556508
1.91,36.61000485764175
1.91,32.669402518122695
1.91,29.403540986057276
1.92,36.61210005201301
1.92,32.61905336118799
1.92,29.355937705872044
1.93,36.614127284977364
1.93,29.30904006052529
1.93,32.56917824781282
1.94,36.61608949439155
1.94,29.262832910842977
1.94,32.519773891615245
1.95,36.61798982579554
1.95,29.217310377563884
1.95,32.47081581195675
1.96,36.619831221037686
1.96,29.17246364071786
1.96,32.422314636028695
1.97,36.621616417888845
1.97,29.128283980938715
1.97,32.37425791942536
1.98,36.62334804528254
1.98,32.326635646152155
1.98,29.08476277749907
1.99,36.625028478774844
1.99,29.041891506443715
1.99,32.279447204065924
2.0,36.62666002985826
2.0,28.999661738817146
2.0,32.23268051728858
2.01,36.62824481096357
2.01,28.958065138980984
2.01,32.186318213035086
2.02,36.629784857118
2.02,28.917093463019
2.02,32.14039185010308
2.03,36.63128206046128
2.03,28.876738557228684
2.03,32.09485989698406
2.04,32.04972787866008
2.04,36.63273845360461
2.04,28.836992361884995
2.05,32.00499024228504
2.05,36.634155207024286
2.05,28.79784688745267
2.06,31.96064166622834
2.06,36.635534209605346
2.06,28.759294250629097
2.07,36.63687706144019
2.07,28.721326645547656
2.07,31.916676226005862
2.08,36.638184811445136
2.08,28.683936351186258
2.08,31.873089585911817
2.09,36.63945942392658
2.09,28.64711573199169
2.09,31.82987642364817
2.1,36.64070161975914
2.1,28.61085724231038
2.1,31.78703184027689
2.11,31.74455197791046
2.11,36.64191316203167
2.11,28.575153443314193
2.12,36.643094794086565
2.12,28.539992797869974
2.12,31.70242938736369
2.13,36.644247672197004
2.13,28.505378118108595
2.13,31.660662278350422
2.14,36.645372941995284
2.14,28.471294035328793
2.14,31.61924526036306
2.15,36.64647155874816
2.15,28.437735370765488
2.15,31.578173966042446
